Daemon iniciado ter 05 mai 2026 20:44:40 -03
dom 10 mai 2026 18:57:18 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:58:34 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:59:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:01:02 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:02:19 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:03:19 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:04:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:05:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:06:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:07:53 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:09:07 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:10:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:11:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:12:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:13:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:14:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:16:04 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:17:15 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:18:12 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:19:10 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:20:07 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:21:07 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:22:01 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:22:59 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:23:56 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:24:52 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:25:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:26:46 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:27:45 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:28:42 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:29:38 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:30:35 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:31:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:32:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:33:30 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:34:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:35:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:36:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:37:19 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:38:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:39:10 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:40:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:41:47 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:43:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:44:26 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:45:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:46:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:47:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:48:19 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:49:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:50:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:51:23 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:52:26 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:53:29 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:54:30 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:55:36 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:56:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:57:45 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:58:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 19:59:45 -03 | ALERTA: CPU alta (100%)
